n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;8;8;0.4833733518125977;0.2598069653255688;5;3;elu;adam;4;0.01;2;1;2;0.6377353668212891
32;4;32;0.09251551653387147;0.33321367509398414;5;3;leakyrelu;adam;32;0.001;1;2;1;0.5515469312667847
16;8;4;0.1534687802806186;0.39411617071776733;5;5;leakyrelu;adam;2;0.01;2;1;2;0.7383903861045837
4;8;16;0.02932908339606302;0.058741536009457834;3;3;relu;adam;16;0.001;2;2;1;0.6330496668815613
8;32;4;0.372017369891927;0.21437587355518165;5;3;elu;sgd;32;0.0001;2;1;2;1.009115219116211
32;4;32;0.1219354238109667;0.17585754969423967;5;5;leakyrelu;rmsprop;4;1e-05;1;2;1;0.9995905756950378
4;8;8;0.4414358289793365;0.11900252075533384;5;3;leakyrelu;adam;8;0.01;2;1;2;0.6294228434562683
4;8;4;0.32229194869541977;0.30083719762180394;3;5;leakyrelu;adam;32;0.001;2;2;1;0.6987032890319824
32;32;16;0.2294298209816914;0.46307060700334957;5;3;relu;adam;2;0.01;2;1;2;1.0002878904342651
8;4;4;0.07859515309883192;0.356187566843268;5;3;elu;sgd;4;0.001;1;1;1;1.0091968774795532
4;8;32;0.2025467948613479;0.13556642509496636;5;5;leakyrelu;adam;32;0.0001;2;2;2;0.7118980288505554
16;8;4;0.04833494679238548;0.25208352251536165;3;3;leakyrelu;rmsprop;16;1e-05;2;1;1;1.0014069080352783
4;16;4;0.1897279198307741;0.47399504504387435;5;3;leakyrelu;adam;8;0.01;2;1;2;0.6526327133178711
4;16;4;0.2897636947709482;0.37469520445617654;5;3;leakyrelu;adam;8;0.01;2;1;2;0.9583687782287598
4;16;4;0.15914713056744753;0.4322466058395361;5;3;leakyrelu;adam;8;0.01;2;1;2;0.6719626784324646
4;16;4;0.25043456823841775;0.4073134141754249;5;3;leakyrelu;adam;8;0.01;2;1;2;0.6689295768737793
4;16;4;0.16602975405743986;0.3887557641343265;5;3;leakyrelu;adam;8;0.01;2;1;2;0.5206171870231628
4;16;4;0.146673616728637;0.32336806161074605;5;3;leakyrelu;adam;8;0.01;2;1;2;0.5458874106407166
4;16;4;0.10623663711442399;0.3377975989278471;5;3;leakyrelu;adam;8;0.01;2;1;2;0.7370530962944031
4;16;4;0.17677278912359182;0.3855049133571823;5;3;leakyrelu;adam;8;0.01;2;1;2;0.531832218170166
4;8;4;0.1379055198001087;0.36579197012590314;5;3;leakyrelu;adam;32;0.01;2;1;2;0.5544942021369934
4;16;16;0.11394227015889805;0.4247270076780944;5;3;leakyrelu;adam;8;0.001;2;1;2;0.6280221343040466
32;8;4;0.3095775886610884;0.2897603518520333;5;3;leakyrelu;adam;32;0.01;2;1;2;0.6155151128768921
4;4;32;0.26278931332306;0.182784267999445;5;3;relu;adam;4;0.001;2;2;2;0.5377193689346313
32;8;8;0.21646109580876707;0.4503822010066669;5;3;leakyrelu;rmsprop;32;0.01;2;1;1;0.6102167963981628
4;32;4;0.23729358665598632;0.21726127159610084;5;3;elu;adam;2;0.0001;2;2;2;0.6073458790779114
8;16;32;0.3501141872752941;0.27354138911202414;5;5;leakyrelu;sgd;8;1e-05;1;1;1;0.9973776936531067
16;8;4;0.18955772473755073;0.3108728131371713;5;3;leakyrelu;adam;32;0.01;2;2;2;0.6695975065231323
32;16;16;0.16701283896532768;0.4891312421380575;3;3;leakyrelu;adam;16;0.001;2;1;1;0.6564106345176697
4;8;32;0.08646284059470818;0.1553130205711169;5;3;relu;adam;32;0.01;2;2;2;0.5151801705360413
32;8;32;0.03962758430703267;0.08477306099466578;5;3;relu;rmsprop;32;0.001;2;2;2;0.5827430486679077
4;8;32;0.019422835899698676;0.03608592108868422;5;5;relu;sgd;32;0.0001;1;2;1;0.9997698664665222
16;8;32;0.2780625203071237;0.19807801307694628;5;3;relu;adam;32;0.01;2;2;2;0.6041997075080872
